type,model,metric,mean,lb,ub
reg,dummy,mse,0.7497910510345261,0.6929842944737885,0.8133565950614055
reg,dummy,mae,0.6765899837184175,0.6462856603661875,0.7056032807388879
reg,linear,mse,0.7046007281200597,0.6503035613035094,0.7664872933689699
reg,linear,mae,0.6448951918987887,0.616349097192939,0.6742974122749352
reg,svm,mse,0.6603222767092775,0.6084291804494817,0.7199220107982037
reg,svm,mae,0.6201013474314195,0.593344811586667,0.6496974542514576
reg,rf,mse,0.4905232081142883,0.44078159271013984,0.544406286724639
reg,rf,mae,0.508311277888778,0.48369028887778887,0.5341878704628704
reg,mlp,mse,0.6905834484921043,0.6383499403891721,0.7523255125546194
reg,mlp,mae,0.6388337474061389,0.6123391002753846,0.6678854605919734
clf,dummy,mse,1.5181053846153845,1.396923076923077,1.6407692307692308
clf,dummy,mae,0.9197653846153846,0.874576923076923,0.9623269230769231
clf,dummy,f1_score,0.3299915384615385,0.30538461538461537,0.35540384615384607
clf,linear,mse,0.78449,0.7260961538461539,0.8461923076923077
clf,linear,mae,0.6213823076923076,0.5884423076923078,0.6554038461538462
clf,linear,f1_score,0.45550384615384615,0.4292115384615384,0.4815384615384616
clf,svm,mse,0.817246153846154,0.7561538461538462,0.8907692307692308
clf,svm,mae,0.627793846153846,0.5938461538461538,0.6646153846153846
clf,svm,f1_score,0.46070384615384613,0.4323076923076923,0.4869230769230769
clf,rf,mse,0.5913715384615384,0.5268846153846155,0.6653846153846154
clf,rf,mae,0.4349192307692308,0.4015384615384615,0.4684615384615385
clf,rf,f1_score,0.6326807692307691,0.6076730769230768,0.6576923076923077
clf,mlp,mse,0.7677253846153846,0.71075,0.8300192307692307
clf,mlp,mae,0.6136561538461538,0.5815384615384616,0.6484615384615384
clf,mlp,f1_score,0.4587107692307692,0.43153846153846154,0.4854038461538461
